-1.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00
-2.00,0.00,1.00,2.00,0.00,1.00,2.00,0.00
6.00,-17.82,18.56,-31.07,-53.63,149.36,-298.61,-4877.35
10.80,-13.26,13.52,-30.77,20.86,-10.82,53.55,-2412.08
11.20,-23.51,9.61,-32.61,-73.44,88.29,-14.61,13501.35
11.80,-31.06,16.19,-27.02,-44.66,-27.31,44.23,-4053.40
12.20,-9.10,13.07,-30.86,-95.25,18.22,97.42,5590.58
12.90,-11.70,17.77,-34.43,-38.31,-83.65,16.80,56.79
13.10,-30.48,15.50,-31.92,-7.78,-67.85,16.60,-272.16
15.90,-33.38,6.62,-20.93,-82.04,-48.82,43.17,-2002.14
16.10,-28.46,16.35,-39.53,47.80,-159.86,136.25,0
17.50,-20.79,-6.36,-2.21,-55.98,41.07,-20.35,0
19.00,-11.49,4.50,-1.85,-45.32,-26.16,5.02,0
20.00,-5.03,-0.69,-5.61,-57.69,49.24,76.35,0
21.00,-2.69,-2.01,51.04,-112.23,123.50,-261.33,0
